level1,level2,pattern,weight
liwc,social,welcom*,1
liwc,social,weve,1
liwc,social,who,1
liwc,social,whod,1
liwc,social,wholl,1
liwc,social,whom,1
liwc,social,whos,1
liwc,social,whose,1
liwc,social,wife*,1
liwc,social,willing,1
liwc,social,wive*,1
liwc,social,woman,1
liwc,social,womanhood,1
liwc,social,womanly,1
liwc,social,women*,1
liwc,social,write,1
liwc,social,writing,1
liwc,social,wrote,1
liwc,social,ya,1
liwc,social,yall,1
liwc,social,y,1
liwc,social,ye,1
liwc,social,you,1
liwc,social,youd,1
liwc,social,youll,1
liwc,social,your,1
liwc,social,youre,1
liwc,social,yours,1
liwc,social,youve,1
liwc,family,aunt*,1
liwc,family,bro,1
liwc,family,bros,1
liwc,family,brother*,1
liwc,family,cousin*,1
liwc,family,dad*,1
liwc,family,daughter*,1
liwc,family,ex,1
liwc,family,exes,1
liwc,family,exhubby*,1
liwc,family,exhusband*,1
liwc,family,exwife*,1
liwc,family,exwive*,1
liwc,family,families*,1
liwc,family,family,1
liwc,family,father*,1
liwc,family,folks,1
liwc,family,grandchil*,1
liwc,family,granddad*,1
liwc,family,granddau*,1
liwc,family,grandf*,1
liwc,family,grandkid*,1
liwc,family,grandm*,1
liwc,family,grandpa*,1
liwc,family,grandson*,1
liwc,family,granny,1
liwc,family,hubby,1
liwc,family,husband*,1
liwc,family,kin,1
liwc,family,ma,1
liwc,family,marrie*,1
liwc,family,mom,1
liwc,family,momma*,1
liwc,family,mommy*,1
liwc,family,moms,1
liwc,family,mother,1
liwc,family,mothers,1
liwc,family,mum,1
liwc,family,mummy*,1
liwc,family,mums,1
liwc,family,nephew*,1
liwc,family,niece*,1
liwc,family,pa,1
liwc,family,pappy,1
liwc,family,parent*,1
liwc,family,relatives,1
liwc,family,sis,1
liwc,family,sister*,1
liwc,family,son,1
liwc,family,sons,1
liwc,family,spous*,1
liwc,family,stepchild*,1
liwc,family,stepfat*,1
liwc,family,stepkid*,1
liwc,family,stepmot*,1
liwc,family,uncle,1
liwc,family,uncles,1
liwc,family,wife*,1
liwc,family,wive*,1
liwc,friends,acquainta*,1
liwc,friends,amigo*,1
liwc,friends,bf*,1
liwc,friends,boyf*,1
liwc,friends,bud,1
liwc,friends,buddies*,1
liwc,friends,buddy*,1
liwc,friends,colleague*,1
liwc,friends,companion,1
liwc,friends,companions,1
